,Date,Cases_all,Cases_PlaceExp,Cases_Imports,Cases_Imports_Spain
1,2020-06-01,3,3,0,0
2,2020-06-02,23,10,0,0
3,2020-06-03,23,17,0,0
4,2020-06-04,17,11,0,0
5,2020-06-05,15,10,0,0
6,2020-06-06,10,7,0,0
7,2020-06-07,8,7,1,0
8,2020-06-08,25,18,0,0
9,2020-06-09,11,4,1,0
10,2020-06-10,24,11,0,0
11,2020-06-11,25,15,0,0
12,2020-06-12,34,22,4,0
13,2020-06-13,9,6,1,0
14,2020-06-14,12,6,1,0
15,2020-06-15,32,20,3,0
16,2020-06-16,21,12,1,0
17,2020-06-17,18,12,2,0
18,2020-06-18,18,12,3,0
19,2020-06-19,37,25,5,0
20,2020-06-20,32,19,2,0
21,2020-06-21,13,6,0,0
22,2020-06-22,56,39,6,0
23,2020-06-23,37,21,5,0
24,2020-06-24,64,40,2,0
25,2020-06-25,48,26,4,0
26,2020-06-26,92,63,15,0
27,2020-06-27,36,20,3,0
28,2020-06-28,24,13,2,0
29,2020-06-29,160,116,25,0
30,2020-06-30,138,100,19,0
31,2020-07-01,101,69,14,0
32,2020-07-02,127,87,16,0
33,2020-07-03,96,63,14,0
34,2020-07-04,26,20,2,0
35,2020-07-05,36,23,6,0
36,2020-07-06,106,73,22,0
37,2020-07-07,107,79,23,0
38,2020-07-08,97,68,21,0
39,2020-07-09,97,75,18,0
40,2020-07-10,111,80,6,0
41,2020-07-11,71,48,14,0
42,2020-07-12,46,32,17,0
43,2020-07-13,120,79,10,0
44,2020-07-14,129,93,25,0
45,2020-07-15,125,76,13,1
46,2020-07-16,106,80,15,1
47,2020-07-17,115,74,15,0
48,2020-07-18,80,60,21,0
49,2020-07-19,42,26,4,0
50,2020-07-20,127,89,17,2
51,2020-07-21,138,86,22,3
52,2020-07-22,118,76,13,0
53,2020-07-23,143,94,15,1
54,2020-07-24,148,111,24,3
55,2020-07-25,95,54,12,2
56,2020-07-26,57,30,9,1
57,2020-07-27,193,118,42,4
58,2020-07-28,189,100,33,3
59,2020-07-29,220,122,28,1
60,2020-07-30,212,129,30,5
61,2020-07-31,164,102,34,4
62,2020-08-01,97,62,18,3
63,2020-08-02,80,53,22,1
64,2020-08-03,196,149,46,1
65,2020-08-04,181,133,53,1
66,2020-08-05,152,106,35,1
67,2020-08-06,156,124,41,1
68,2020-08-07,185,132,51,1
69,2020-08-08,130,112,46,3
70,2020-08-09,100,67,37,7
71,2020-08-10,281,191,98,10
72,2020-08-11,255,166,75,4
73,2020-08-12,246,169,68,5
74,2020-08-13,273,186,89,0
75,2020-08-14,233,181,86,3
76,2020-08-15,149,113,55,5
77,2020-08-16,137,98,46,3
78,2020-08-17,285,211,105,7
79,2020-08-18,294,214,83,2
80,2020-08-19,285,193,72,4
81,2020-08-20,349,239,66,3
82,2020-08-21,314,199,68,4
83,2020-08-22,191,125,31,2
84,2020-08-23,136,100,25,0
85,2020-08-24,304,218,60,3
86,2020-08-25,338,229,65,5
87,2020-08-26,361,252,52,4
88,2020-08-27,352,226,54,4
89,2020-08-28,377,260,61,3
90,2020-08-29,215,118,33,0
91,2020-08-30,144,83,21,2
92,2020-08-31,347,199,61,2
93,2020-09-01,364,204,49,1
94,2020-09-02,417,268,39,1
95,2020-09-03,438,240,40,1
96,2020-09-04,426,229,40,0
97,2020-09-05,294,182,40,2
98,2020-09-06,170,98,19,0
99,2020-09-07,468,289,40,0
100,2020-09-08,387,262,43,0
101,2020-09-09,462,275,34,0
102,2020-09-10,507,286,41,0
103,2020-09-11,533,285,37,0
104,2020-09-12,266,157,14,0
105,2020-09-13,238,135,25,0
106,2020-09-14,504,307,49,1
107,2020-09-15,458,261,35,2
108,2020-09-16,516,313,39,0
109,2020-09-17,499,299,25,0
110,2020-09-18,444,249,27,0
111,2020-09-19,284,157,23,0
112,2020-09-20,200,119,12,0
113,2020-09-21,395,251,24,0
114,2020-09-22,425,191,36,1
115,2020-09-23,389,205,30,0
116,2020-09-24,308,159,15,0
117,2020-09-25,359,201,14,0
118,2020-09-26,222,152,20,1
119,2020-09-27,120,83,14,0
120,2020-09-28,368,224,29,0
121,2020-09-29,448,235,24,1
122,2020-09-30,540,351,44,0
